epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,680.107,0.50007,0.66205,0.90074,0.74714,0.68549,0.75717,0.67574,0.57687,1.14165,0.96447,0.00995347,0.00995347,0.00995347
143,684.776,0.47514,0.57571,0.8777,0.76898,0.69834,0.75442,0.67205,0.573,1.08976,0.96631,0.00995314,0.00995314,0.00995314
144,689.426,0.58181,0.69391,0.88491,0.76156,0.70119,0.76217,0.68786,0.54209,1.07091,0.9544,0.00995281,0.00995281,0.00995281
145,694.016,0.60863,0.68787,0.9373,0.76156,0.70119,0.76217,0.68786,0.54209,1.07091,0.9544,0.00995248,0.00995248,0.00995248
146,698.704,0.54178,0.68332,0.91186,0.80248,0.70119,0.73794,0.67565,0.53294,1.06787,0.94921,0.00995215,0.00995215,0.00995215
147,703.344,0.52091,0.60426,0.8977,0.77914,0.69892,0.7604,0.6793,0.55772,1.18385,0.95193,0.00995182,0.00995182,0.00995182
148,707.952,0.46199,0.56525,0.89116,0.78735,0.6994,0.74094,0.6525,0.59154,1.1996,0.95485,0.00995149,0.00995149,0.00995149
149,712.57,0.51401,0.63179,0.8963,0.78735,0.6994,0.74094,0.6525,0.59154,1.1996,0.95485,0.00995116,0.00995116,0.00995116
150,717.266,0.45354,0.55519,0.85763,0.77955,0.69665,0.7693,0.67289,0.61408,1.14202,0.96337,0.00995083,0.00995083,0.00995083
151,721.985,0.47918,0.60622,0.89218,0.81529,0.67431,0.74764,0.65904,0.61721,1.14156,0.95719,0.0099505,0.0099505,0.0099505
152,726.805,0.50534,0.63129,0.89744,0.72918,0.70119,0.74467,0.65517,0.59409,1.16071,0.95654,0.00995017,0.00995017,0.00995017
153,731.505,0.46454,0.58814,0.86374,0.72918,0.70119,0.74467,0.65517,0.59409,1.16071,0.95654,0.00994984,0.00994984,0.00994984
154,736.246,0.50921,0.61556,0.87456,0.6886,0.69772,0.75699,0.67767,0.60339,1.16919,0.95165,0.00994951,0.00994951,0.00994951
155,740.934,0.52064,0.61725,0.88552,0.73453,0.66556,0.72661,0.63933,0.59739,1.13758,0.95933,0.00994918,0.00994918,0.00994918
156,745.585,0.51292,0.56234,0.8866,0.83948,0.66189,0.76561,0.67073,0.60622,0.98247,0.94421,0.00994885,0.00994885,0.00994885
157,750.246,0.53847,0.59632,0.86997,0.83948,0.66189,0.76561,0.67073,0.60622,0.98247,0.94421,0.00994852,0.00994852,0.00994852
158,754.943,0.50202,0.61958,0.8689,0.72571,0.81023,0.78606,0.68696,0.61017,0.93137,0.95067,0.00994819,0.00994819,0.00994819
159,759.582,0.46395,0.56785,0.87233,0.87502,0.62889,0.77359,0.6752,0.57262,0.94824,0.93804,0.00994786,0.00994786,0.00994786
160,764.246,0.4797,0.59215,0.90143,0.74196,0.66628,0.76249,0.66793,0.6042,0.97244,0.94463,0.00994753,0.00994753,0.00994753
161,768.923,0.47338,0.54607,0.8913,0.74196,0.66628,0.76249,0.66793,0.6042,0.97244,0.94463,0.0099472,0.0099472,0.0099472
162,773.606,0.50201,0.58463,0.89899,0.72333,0.69282,0.76323,0.66136,0.56103,1.00303,0.93679,0.00994687,0.00994687,0.00994687
163,778.309,0.54229,0.62847,0.90324,0.73587,0.7002,0.76997,0.66539,0.60983,1.0341,0.95368,0.00994654,0.00994654,0.00994654
164,782.964,0.45264,0.55348,0.8619,0.73676,0.68378,0.77668,0.67552,0.59206,1.02129,0.94393,0.00994621,0.00994621,0.00994621
165,787.619,0.4887,0.59104,0.89192,0.73676,0.68378,0.77668,0.67552,0.59206,1.02129,0.94393,0.00994588,0.00994588,0.00994588
166,792.315,0.48118,0.55589,0.88514,0.72839,0.70119,0.79869,0.70148,0.59682,1.00068,0.95916,0.00994555,0.00994555,0.00994555
167,796.975,0.53065,0.598,0.90818,0.7355,0.72976,0.79633,0.68504,0.65481,1.07528,0.96705,0.00994522,0.00994522,0.00994522
168,801.743,0.54598,0.63783,0.91334,0.73498,0.70119,0.76687,0.66647,0.57278,1.02725,0.94466,0.00994489,0.00994489,0.00994489
169,806.345,0.39278,0.51184,0.86286,0.73498,0.70119,0.76687,0.66647,0.57278,1.02725,0.94466,0.00994456,0.00994456,0.00994456
170,810.961,0.50272,0.54043,0.86668,0.72756,0.76888,0.76514,0.67089,0.61026,1.05452,0.94706,0.00994423,0.00994423,0.00994423
171,815.685,0.55103,0.66032,0.88028,0.71402,0.76672,0.79062,0.69781,0.54737,0.99398,0.93392,0.0099439,0.0099439,0.0099439
172,820.369,0.51692,0.54243,0.88828,0.74098,0.73681,0.77732,0.69315,0.58224,1.00836,0.94467,0.00994357,0.00994357,0.00994357
173,824.949,0.50069,0.58481,0.9148,0.74098,0.73681,0.77732,0.69315,0.58224,1.00836,0.94467,0.00994324,0.00994324,0.00994324
174,829.563,0.48782,0.5979,0.88173,0.76651,0.70119,0.76647,0.68174,0.52493,0.98267,0.93121,0.00994291,0.00994291,0.00994291
175,834.211,0.45085,0.5174,0.86207,0.72655,0.74365,0.78804,0.68568,0.56938,0.99257,0.9422,0.00994258,0.00994258,0.00994258
176,838.922,0.53049,0.56604,0.89188,0.77372,0.74179,0.7889,0.7053,0.52727,1.04654,0.92661,0.00994225,0.00994225,0.00994225
177,843.576,0.45365,0.5437,0.85528,0.77372,0.74179,0.7889,0.7053,0.52727,1.04654,0.92661,0.00994192,0.00994192,0.00994192
178,848.296,0.52255,0.56376,0.86009,0.75895,0.77815,0.77839,0.67926,0.59805,1.03098,0.94735,0.00994159,0.00994159,0.00994159
179,853.026,0.54114,0.60927,0.91458,0.73586,0.77809,0.76792,0.67307,0.58743,1.08136,0.93938,0.00994126,0.00994126,0.00994126
180,857.66,0.47146,0.59159,0.88899,0.75117,0.76665,0.77569,0.67386,0.58018,0.93773,0.92453,0.00994093,0.00994093,0.00994093
181,862.352,0.52243,0.58165,0.88933,0.75117,0.76665,0.77569,0.67386,0.58018,0.93773,0.92453,0.0099406,0.0099406,0.0099406
